season,mnth,holiday,workingday,temp,hum,windspeed,cnt
1,1,0,0,0.16,0.93,0.1045,20
1,1,0,1,0.36,0.93,0.2537,3
4,12,0,0,0.36,0.93,0.1343,229
2,4,0,0,0.38,0.87,0.0896,57
4,11,0,0,0.36,0.5,0.3284,455
1,1,0,1,0.26,0.6,0.3582,9
1,2,0,1,0.18,0.86,0.0,95
4,12,0,1,0.32,0.87,0.0,8
1,12,1,0,0.22,0.93,0.1642,6
4,9,0,1,0.56,0.52,0.2985,170
1,1,0,0,0.42,0.88,0.2537,37
1,3,0,1,0.24,0.52,0.0896,7
1,3,0,1,0.36,0.87,0.0896,101
3,7,0,1,0.82,0.43,0.2239,209
1,1,0,1,0.22,0.37,0.3284,57
4,10,0,0,0.4,0.62,0.2537,31
1,2,0,1,0.2,0.37,0.2537,79
1,3,0,1,0.44,0.77,0.2537,57
1,3,0,1,0.6,0.43,0.3881,302
4,10,0,0,0.3,0.87,0.2985,17
3,8,0,0,0.68,0.69,0.2836,288
2,4,0,0,0.7,0.45,0.2836,609
1,12,0,1,0.24,0.87,0.3284,3
4,10,0,0,0.68,0.51,0.1642,407
3,8,0,1,0.7,0.65,0.2836,95
4,9,0,0,0.58,1.0,0.0896,93
1,1,0,0,0.16,0.8,0.2836,2
1,2,0,1,0.28,0.45,0.1343,147
2,3,0,1,0.58,0.6,0.2537,261
2,4,0,0,0.56,0.37,0.1343,499
1,2,0,1,0.36,0.46,0.4179,254
2,5,1,0,0.8,0.55,0.2537,269
2,3,0,1,0.28,0.93,0.194,58
4,11,1,0,0.36,0.76,0.0,44
4,9,0,1,0.7,0.51,0.2537,410
4,10,0,0,0.38,0.5,0.194,314
1,2,0,1,0.22,0.47,0.4627,50
2,6,0,1,0.86,0.47,0.1642,180
3,8,0,1,0.6,0.83,0.0,3
2,5,0,1,0.6,0.73,0.2239,489
1,1,0,1,0.14,0.5,0.2985,31
4,10,0,1,0.5,0.45,0.5821,164
4,11,0,1,0.34,0.66,0.3284,8
2,4,0,0,0.68,0.65,0.2537,388
4,11,0,1,0.46,0.36,0.3881,290
3,7,0,1,0.8,0.36,0.194,439
3,9,0,0,0.66,0.89,0.2836,117
3,9,1,0,0.66,0.89,0.0,4
3,8,0,1,0.72,0.79,0.0896,5
4,10,0,0,0.38,0.66,0.0896,10
3,9,0,1,0.72,0.51,0.194,894
4,11,0,1,0.48,0.39,0.0896,300
3,7,0,1,0.68,0.89,0.1045,7
2,4,0,0,0.4,0.82,0.2537,79
3,9,0,1,0.6,0.94,0.2537,70
1,12,0,1,0.46,0.88,0.3881,61
4,10,0,0,0.54,0.37,0.2239,591
4,11,0,0,0.48,0.72,0.2537,32
3,7,0,0,0.96,0.3,0.1343,308
4,10,0,1,0.48,0.82,0.3582,26
4,11,0,0,0.24,0.44,0.2836,10
3,6,0,0,0.74,0.42,0.0,331
4,10,0,1,0.56,0.46,0.5821,566
3,7,0,1,0.64,0.94,0.1343,46
4,11,0,0,0.22,0.44,0.194,36
1,3,0,0,0.3,0.49,0.4478,118
1,1,0,1,0.2,0.47,0.0,45
2,4,0,1,0.46,0.47,0.2537,119
1,1,0,1,0.24,0.65,0.3284,31
1,1,0,1,0.26,0.3,0.2836,77
1,3,0,1,0.36,0.5,0.1343,2
1,2,0,1,0.22,0.37,0.2537,78
